ID;SKU;Permalink;_cost;_reference;_sref1;_sref2;"Regular Price";"Tax Class";Title
5917;PAPOLGENFANT-enfant-560-x-480-h-490-vert-olive-v712;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=vert-olive-v712;91,2197;PAPENFANT;V712;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Vert olive G712"
5918;PAPOLGENFANT-enfant-560-x-480-h-490-vert-sapin-v414;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=enfant-560-x-480-h-490&attribute_pa_color=vert-sapin-v414;91,2197;PAPENFANT;V414;;210.696822;standard;"FAUTEUIL OLGA - ENFANT 560 X 480 H 490, Vert sapin V414"
5919;PAPOLG001-adulte-860-x-700-h-700-aubergine-vl714;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=aubergine-vl714;181,25965;PAPOLGA;VL714;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Aubergine VL714"
5920;PAPOLG001-adulte-860-x-700-h-700-bleu-azur-bl314;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=bleu-azur-bl314;181,25965;PAPOLGA;BL314;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Bleu azur BL314"
5921;PAPOLG001-adulte-860-x-700-h-700-bleu-canard-bl1984;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=bleu-canard-bl1984;181,25965;PAPOLGA;BL1984;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Bleu canard BL1984"
5922;PAPOLG001-adulte-860-x-700-h-700-bleu-cobalt-bl102;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=bleu-cobalt-bl102;181,25965;PAPOLGA;BL102;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Bleu cobalt BL102"
5923;PAPOLG001-adulte-860-x-700-h-700-bordeaux-r747;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=bordeaux-r747;181,25965;PAPOLGA;R747;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Bordeaux R747"
5924;PAPOLG001-adulte-860-x-700-h-700-fuchsia-r615;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=fuchsia-r615;181,25965;PAPOLGA;R615;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Fuchsia R615"
5925;PAPOLG001-adulte-860-x-700-h-700-gris-anthracite-g932;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=gris-anthracite-g932;181,25965;PAPOLGA;G932;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Gris Anthracite G932"
5926;PAPOLG001-adulte-860-x-700-h-700-gris-sourie-g587;https://www.jardinew.com/produit/amenagement-exterieur/mobilier-de-jardin/fauteuil-olga/?attribute_pa_dimensions=adulte-860-x-700-h-700&attribute_pa_color=gris-sourie-g587;181,25965;PAPOLGA;G587;;330.447159;standard;"FAUTEUIL OLGA - ADULTE 860 X 700 H 700, Gris souris G587"
